Hour,Day_of_Week,Weather,Temperature,Road_Capacity,Accidents,Vehicles,Traffic_Level
8,3,2,19,1385,4,1012,High
7,6,3,38,1281,1,999,Medium
11,0,0,35,941,1,587,Medium
1,2,0,32,1740,3,956,Medium
0,1,1,29,1410,0,654,Medium
15,2,3,20,1525,2,912,Medium
22,2,1,39,1331,3,904,Medium
22,4,1,33,1507,4,1047,High
23,2,0,15,1879,2,1350,High
4,2,2,15,1125,0,374,Low
2,3,2,27,1688,0,1357,High
11,1,1,17,1497,1,1289,High
7,3,0,24,1233,3,478,Low
21,3,3,35,590,4,957,Medium
2,0,2,17,666,2,562,Medium
0,3,1,23,1458,0,370,Low
2,4,2,22,706,2,1274,High
4,4,2,17,1805,4,864,Medium
14,6,3,39,1588,2,791,Medium
13,0,0,27,1015,3,1130,High
2,6,3,20,1680,1,1368,High
0,6,0,27,1246,2,473,Low
4,5,2,37,805,1,1378,High
22,1,1,34,894,4,707,Medium
13,1,3,34,1597,1,562,Medium
6,3,0,26,686,2,1047,High
8,3,2,27,1860,2,854,Medium
14,5,0,16,1122,0,497,Low
14,3,0,35,1229,2,693,Medium
9,1,0,38,739,1,745,Medium
12,6,2,37,1032,0,503,Medium
18,2,1,30,640,2,1103,High
6,4,1,37,1788,2,438,Low
16,2,1,20,638,4,849,Medium
19,2,0,33,958,0,1083,High
3,1,2,35,569,4,1399,High
4,2,0,27,884,4,609,Medium
22,5,1,31,1129,4,925,Medium
6,0,1,37,697,3,1246,High
12,3,2,23,704,4,517,Medium
14,0,0,31,1067,1,724,Medium
10,6,3,16,1481,2,1104,High
3,4,3,33,1304,3,1499,High
12,3,1,33,1358,4,1223,High
6,2,2,38,1381,2,819,Medium
18,4,0,21,1473,0,1152,High
21,3,0,36,1139,0,1452,High
1,5,1,24,1954,2,1331,High
9,5,1,24,824,1,1000,High
12,5,0,34,941,2,1115,High
20,5,0,23,1303,2,1399,High
5,2,1,31,787,3,519,Medium
11,0,0,29,725,0,1075,High
11,3,3,16,1587,0,528,Medium
19,2,1,18,1466,4,952,Medium
10,5,0,33,1437,2,856,Medium
22,6,1,31,1059,2,1237,High
6,0,2,19,1213,1,1498,High
0,6,1,21,997,0,270,Low
0,4,1,32,1348,1,1026,High
19,6,2,35,1425,3,1418,High
12,4,3,36,559,4,1064,High
8,4,0,21,1920,1,1127,High
2,5,2,31,756,0,305,Low
6,4,1,21,1076,3,969,Medium
5,1,0,18,738,2,1092,High
7,3,2,22,537,3,395,Low
8,3,0,27,524,1,344,Low
4,5,0,18,909,0,670,Medium
0,1,2,20,960,1,415,Low
18,6,0,39,1487,2,1316,High
9,2,3,19,1940,2,459,Low
11,6,2,26,856,0,1133,High
23,2,3,18,882,4,774,Medium
14,4,1,38,1681,3,484,Low
21,0,0,23,1068,3,683,Medium
23,2,1,18,1956,2,571,Medium
8,0,1,33,1571,1,269,Low
19,3,0,38,1851,1,578,Medium
16,0,2,28,932,4,501,Medium
16,3,0,19,1954,1,454,Low
19,1,1,32,555,3,1143,High
11,1,1,24,1076,1,891,Medium
6,5,2,39,767,4,1487,High
1,5,0,33,568,3,1033,High
2,4,1,26,1401,1,916,Medium
16,2,3,32,1972,3,623,Medium
4,4,1,31,1292,2,412,Low
16,3,1,38,756,2,299,Low
23,4,2,25,1171,2,1335,High
16,0,3,17,989,1,507,Medium
16,3,1,37,1245,4,877,Medium
1,5,1,31,548,3,674,Medium
1,1,3,15,815,0,311,Low
21,5,0,29,912,2,1310,High
22,2,0,23,933,2,382,Low
4,3,1,29,1525,0,796,Medium
0,3,1,38,1668,0,364,Low
0,0,0,17,1889,1,1014,High
18,2,2,36,919,3,289,Low
1,1,3,33,1343,2,654,Medium
20,6,3,27,1967,4,437,Low
11,3,2,26,1415,1,733,Medium
5,3,2,34,933,1,926,Medium
22,0,2,15,1142,4,257,Low
3,4,2,35,556,4,741,Medium
22,1,2,31,1463,4,1221,High
10,5,2,27,1476,0,817,Medium
23,2,3,15,1701,2,601,Medium
16,3,2,24,1816,0,1205,High
5,3,0,29,545,2,1041,High
23,5,2,21,1693,0,1038,High
4,1,2,36,1794,3,718,Medium
19,4,3,32,916,2,396,Low
1,3,3,30,1347,1,245,Low
5,1,2,28,638,2,729,Medium
21,5,3,32,746,2,1199,High
10,0,1,21,1671,2,975,Medium
15,4,3,31,729,3,273,Low
15,2,3,32,1291,0,534,Medium
0,3,3,26,1136,1,832,Medium
8,1,3,22,873,0,887,Medium
5,0,0,36,1603,0,774,Medium
15,2,0,16,1237,4,495,Low
2,6,0,21,1588,3,1307,High
19,1,2,18,587,4,1238,High
3,1,2,32,1611,3,1357,High
18,2,1,20,1212,0,677,Medium
2,0,0,23,1727,0,832,Medium
18,6,2,23,1905,3,518,Medium
19,5,3,28,1100,0,678,Medium
6,0,3,22,1999,0,567,Medium
19,4,0,33,1038,1,566,Medium
8,3,1,17,713,4,577,Medium
0,2,1,32,573,4,662,Medium
7,5,3,19,560,4,212,Low
6,6,1,28,1197,2,735,Medium
17,2,0,18,1742,1,1391,High
7,2,3,21,511,4,469,Low
0,0,2,34,1313,4,1293,High
10,3,2,39,1938,1,575,Medium
17,4,1,26,531,0,1312,High
22,1,3,16,1683,4,456,Low
9,1,3,25,1500,0,416,Low
2,2,2,28,736,4,649,Medium
6,3,3,36,1704,3,1093,High
15,6,3,37,1057,2,1364,High
15,6,3,30,1864,4,1384,High
19,5,1,34,1981,3,231,Low
16,0,3,20,1603,1,1375,High
1,3,0,37,1146,3,1483,High
0,3,1,18,1486,1,809,Medium
15,0,3,29,1319,4,1116,High
11,6,3,38,972,1,741,Medium
4,6,0,39,611,3,347,Low
4,6,1,15,1815,2,855,Medium
22,2,2,21,882,0,266,Low
8,3,2,39,516,0,769,Medium
8,1,1,26,992,2,947,Medium
2,0,3,24,1854,0,642,Medium
18,6,3,19,1425,4,1096,High
15,5,2,26,1929,4,598,Medium
15,6,2,32,616,3,1351,High
2,6,2,24,1379,3,681,Medium
19,4,0,20,614,1,1147,High
23,2,2,26,1313,3,385,Low
21,0,0,21,1143,4,368,Low
23,4,1,32,1859,3,1483,High
0,4,3,16,835,0,706,Medium
23,5,2,24,1421,1,720,Medium
19,3,3,29,646,1,360,Low
10,5,3,26,621,4,539,Medium
16,3,2,31,580,3,1329,High
7,3,2,18,1184,0,903,Medium
3,0,1,21,1161,3,1376,High
5,6,0,23,874,2,1022,High
7,0,0,33,562,3,984,Medium
19,2,3,37,1003,4,1372,High
2,3,2,21,1167,3,1411,High
15,4,1,37,948,1,330,Low
2,6,1,16,1951,0,715,Medium
17,1,1,20,1367,4,1486,High
13,2,1,32,1950,2,735,Medium
17,0,1,20,1944,0,940,Medium
1,5,0,27,1845,0,980,Medium
21,2,0,33,1179,1,1498,High
2,2,0,16,1689,1,787,Medium
15,6,2,26,960,1,925,Medium
8,2,3,29,958,4,1142,High
3,2,1,28,1712,3,1196,High
0,1,2,20,963,0,575,Medium
3,5,1,32,1411,3,1381,High
0,5,0,19,878,3,403,Low
13,5,2,32,1525,1,1188,High
20,3,0,17,863,3,860,Medium
15,4,1,17,571,0,274,Low
19,5,1,36,1950,0,940,Medium
23,2,3,36,1137,2,503,Medium
7,2,1,24,1693,4,1285,High
6,5,0,33,1728,3,769,Medium
2,6,1,17,836,4,985,Medium
16,5,3,26,1995,4,1331,High
0,2,3,30,694,4,1410,High
15,3,0,31,1511,4,1186,High
11,0,2,21,1152,0,428,Low
18,0,1,27,1798,3,1271,High
21,5,3,38,506,2,467,Low
22,1,1,16,1404,4,926,Medium
21,5,1,18,1478,2,1001,High
13,6,2,24,1065,0,453,Low
5,5,3,21,1115,0,1156,High
5,0,1,38,1072,1,1069,High
12,2,3,31,1098,4,286,Low
18,5,0,34,1269,1,1404,High
21,2,0,20,1701,2,1248,High
7,2,1,33,741,3,421,Low
1,1,3,19,1726,1,1189,High
20,2,1,24,1985,0,596,Medium
0,0,3,23,1603,4,1137,High
14,3,3,27,1940,2,710,Medium
0,3,2,33,1265,0,760,Medium
4,4,2,35,883,3,1045,High
15,6,2,38,890,4,639,Medium
18,5,1,20,1395,3,1398,High
3,6,2,18,1187,3,510,Medium
2,0,2,38,1649,4,1497,High
16,2,0,17,546,4,234,Low
16,3,3,17,1999,3,416,Low
11,6,3,18,1118,2,920,Medium
13,0,2,39,963,4,1215,High
20,3,3,19,622,0,718,Medium
5,2,0,22,1997,1,468,Low
2,6,0,30,633,2,837,Medium
8,3,2,36,1340,4,674,Medium
4,5,0,17,1348,4,289,Low
23,5,3,38,1106,2,1265,High
16,4,1,26,522,1,1425,High
13,4,3,39,1065,3,1181,High
20,3,1,22,1265,0,487,Low
2,0,2,27,1464,4,680,Medium
0,5,1,18,734,1,836,Medium
19,0,0,28,1495,0,700,Medium
20,0,3,28,1582,2,251,Low
22,3,1,27,1687,4,302,Low
0,0,3,20,1325,3,898,Medium
2,5,2,31,715,2,1428,High
17,2,2,18,1706,4,1237,High
9,4,0,22,1156,1,669,Medium
21,2,2,31,1434,0,626,Medium
2,0,1,17,1613,0,309,Low
7,2,2,31,810,4,714,Medium
13,5,0,23,1056,2,267,Low
23,5,3,16,1471,3,1469,High
17,0,3,39,756,1,588,Medium
14,3,2,27,1032,4,507,Medium
21,2,1,34,551,1,1289,High
22,3,0,16,1861,0,659,Medium
1,3,1,34,1694,3,546,Medium
9,1,0,25,1590,1,524,Medium
1,0,2,36,799,4,866,Medium
16,4,0,29,1171,3,1256,High
7,5,0,25,1277,2,267,Low
0,5,2,37,1331,4,386,Low
8,0,1,17,731,1,391,Low
10,6,2,17,1474,3,1436,High
21,6,0,26,1591,4,627,Medium
15,6,2,38,527,3,1331,High
6,4,0,19,1574,3,1463,High
9,5,2,34,1783,3,415,Low
22,0,3,21,1090,1,376,Low
2,5,3,21,1284,4,760,Medium
17,3,2,27,1119,0,1080,High
23,2,1,23,1085,0,825,Medium
12,2,0,39,1501,1,806,Medium
6,5,3,35,683,1,378,Low
3,1,1,27,1546,3,594,Medium
12,4,0,26,628,4,1368,High
19,6,3,27,790,4,1075,High
0,4,3,38,1000,2,1161,High
7,4,2,24,685,2,397,Low
13,3,0,15,978,0,1168,High
15,4,1,39,991,2,1307,High
13,2,1,22,1012,2,868,Medium
11,3,1,36,1590,0,1308,High
18,0,0,30,966,0,656,Medium
22,4,1,27,784,2,1476,High
14,4,1,17,1100,4,271,Low
1,0,1,17,1940,2,422,Low
1,4,2,38,1623,3,475,Low
22,0,2,19,688,3,1469,High
21,3,0,25,1488,3,772,Medium
18,2,0,21,1389,1,1123,High
21,0,1,35,887,3,670,Medium
21,1,2,38,740,4,653,Medium
16,0,3,24,916,1,1168,High
19,4,3,24,675,1,206,Low
9,6,1,34,886,3,387,Low
5,6,1,16,1994,2,203,Low
14,3,2,17,1352,0,1106,High
21,5,2,22,1756,2,1348,High
10,3,2,25,1162,2,1238,High
4,5,0,27,951,1,1159,High
0,6,0,21,776,1,724,Medium
7,6,1,27,1752,1,829,Medium
20,0,0,16,1694,4,1463,High
11,2,2,20,712,4,974,Medium
11,1,2,23,1805,0,559,Medium
4,3,0,34,540,1,717,Medium
6,4,3,39,1645,3,1454,High
3,5,1,16,1750,1,1253,High
5,4,3,32,793,4,1120,High
12,2,1,30,1099,1,1379,High
19,5,3,39,1790,4,1051,High
14,3,0,26,1040,1,1134,High
2,0,1,21,950,3,1100,High
22,4,1,21,1972,0,598,Medium
7,2,1,31,1584,3,1418,High
19,3,2,27,1670,4,367,Low
15,6,2,25,1289,2,576,Medium
12,6,3,20,833,3,1467,High
17,3,0,37,1390,1,806,Medium
9,3,2,28,1665,0,1210,High
18,3,1,20,543,1,788,Medium
16,5,2,20,643,1,1394,High
23,3,0,16,832,3,1430,High
18,4,2,36,1497,0,1377,High
22,2,1,34,1919,2,247,Low
4,5,3,39,554,1,1224,High
20,3,1,29,1830,0,1330,High
22,1,0,31,1369,2,372,Low
8,1,3,22,1946,1,705,Medium
11,2,2,19,1940,0,1353,High
20,6,2,31,1296,3,597,Medium
0,0,2,34,824,1,493,Low
0,0,3,15,579,1,751,Medium
14,6,1,36,1554,0,1049,High
1,5,3,32,1484,1,1239,High
21,5,3,29,1635,2,1084,High
15,5,0,19,1057,1,1203,High
7,0,3,21,1364,4,1426,High
12,1,2,32,1216,2,333,Low
20,0,1,20,971,0,970,Medium
0,4,1,36,573,2,707,Medium
15,3,1,35,1088,4,1289,High
6,5,2,19,1910,4,679,Medium
4,1,2,33,1063,1,1062,High
21,2,2,24,1956,1,658,Medium
22,2,2,29,1935,3,825,Medium
2,3,2,24,966,2,358,Low
11,1,3,30,1098,3,360,Low
15,0,2,26,1491,4,1477,High
18,0,2,32,1236,1,1139,High
4,4,2,37,1493,1,354,Low
21,4,2,15,747,1,685,Medium
13,0,1,30,1643,0,631,Medium
4,2,2,36,566,4,1250,High
14,5,3,20,1072,1,1203,High
16,2,3,17,1850,4,1235,High
13,4,3,16,1202,1,266,Low
19,3,0,16,969,2,741,Medium
4,0,1,27,992,4,295,Low
11,4,2,23,1162,3,414,Low
15,4,0,30,785,0,393,Low
15,5,2,19,811,3,1084,High
20,0,0,37,808,4,238,Low
6,5,0,35,1274,1,1138,High
3,0,3,21,1620,4,1138,High
0,5,3,27,1464,0,405,Low
4,2,0,34,1636,4,1141,High
22,3,3,38,955,1,754,Medium
9,3,0,27,1986,3,683,Medium
21,0,1,21,631,2,970,Medium
4,1,3,24,1429,3,448,Low
3,6,3,29,1464,1,1297,High
1,4,3,35,1428,1,572,Medium
19,4,1,20,620,0,1078,High
9,0,0,19,1720,4,1034,High
18,5,2,37,1133,4,1070,High
0,1,3,16,1396,3,901,Medium
23,2,0,35,1271,2,337,Low
4,5,1,29,1562,2,1147,High
12,5,2,30,1065,0,656,Medium
3,0,3,33,1011,1,1013,High
15,0,1,23,1997,0,1022,High
23,4,1,36,1684,4,1141,High
15,0,2,33,788,1,643,Medium
22,0,0,21,699,0,552,Medium
1,0,3,18,1027,3,1195,High
16,4,3,17,1416,4,993,Medium
19,2,0,38,1771,2,610,Medium
23,2,0,34,1906,0,877,Medium
11,6,0,25,1741,4,652,Medium
17,6,2,15,1610,4,618,Medium
2,0,2,20,1605,2,649,Medium
0,6,3,25,1585,2,1194,High
0,4,2,15,1298,2,1338,High
18,2,1,35,1565,0,250,Low
10,5,3,21,511,2,409,Low
4,2,2,20,1332,3,1087,High
11,2,0,28,1340,4,1197,High
2,4,1,16,1142,2,1192,High
0,6,0,18,1638,4,1049,High
0,5,3,25,1741,1,826,Medium
7,4,0,29,605,1,878,Medium
9,0,2,32,1190,2,976,Medium
10,3,2,15,1027,4,1450,High
11,2,3,17,1995,1,862,Medium
12,3,0,17,1345,2,467,Low
11,4,3,21,1392,4,315,Low
13,4,0,15,886,2,953,Medium
1,4,1,39,1749,4,1263,High
18,3,2,25,980,1,381,Low
17,4,3,20,907,2,1432,High
2,0,1,34,1980,1,1102,High
22,4,1,17,1397,2,1496,High
16,1,3,33,1210,0,1342,High
7,6,3,16,1138,1,1145,High
9,3,1,32,1544,1,457,Low
1,1,0,26,1314,3,708,Medium
18,4,1,24,1417,1,291,Low
8,0,3,19,702,4,1384,High
6,2,1,23,916,2,348,Low
3,5,0,16,915,0,316,Low
20,6,2,16,1971,4,657,Medium
17,5,2,20,584,4,764,Medium
12,4,1,24,666,4,1013,High
10,6,0,32,883,4,244,Low
23,6,2,26,967,0,973,Medium
3,0,1,18,1595,3,433,Low
20,6,1,36,1309,1,396,Low
3,3,0,35,1496,4,224,Low
9,1,3,31,972,1,594,Medium
4,1,1,29,1492,1,913,Medium
8,1,3,20,1781,4,1259,High
23,3,3,30,774,3,422,Low
2,5,2,31,1543,1,1063,High
16,0,3,17,989,2,729,Medium
2,6,0,24,825,1,1411,High
15,3,2,19,1028,4,456,Low
3,1,2,28,1391,0,853,Medium
17,4,2,35,588,1,1359,High
16,2,1,27,985,3,790,Medium
6,6,1,20,1207,2,643,Medium
23,3,3,26,849,2,617,Medium
22,3,2,22,1607,0,773,Medium
4,0,2,19,886,0,328,Low
11,0,0,29,586,1,1210,High
16,3,3,30,806,4,540,Medium
22,1,0,15,1677,3,1009,High
12,2,3,30,939,2,1480,High
22,6,3,19,1239,0,1191,High
2,0,1,17,763,3,299,Low
8,6,1,34,1476,4,238,Low
16,1,0,29,1234,2,462,Low
16,6,3,27,920,2,349,Low
19,4,2,38,992,4,889,Medium
15,0,1,30,1132,2,1012,High
21,1,2,37,1492,4,1343,High
12,1,0,25,910,2,418,Low
18,2,1,35,672,1,1105,High
16,2,1,16,503,4,1346,High
3,4,3,36,1353,3,443,Low
11,1,0,20,1485,1,1085,High
8,5,3,20,1995,3,786,Medium
18,1,1,28,1633,2,717,Medium
11,2,0,39,1560,3,1244,High
8,5,1,25,1082,1,389,Low
6,0,0,22,1554,4,1448,High
13,0,1,22,880,0,1114,High
19,6,2,15,1791,3,814,Medium
18,3,2,35,1534,0,1055,High
14,2,3,21,843,3,665,Medium
15,3,2,20,665,3,298,Low
20,5,1,35,1199,4,1029,High
4,2,1,22,841,2,1196,High
2,4,2,33,1542,1,1306,High
11,1,3,36,1479,1,255,Low
19,4,2,35,1707,1,1245,High
20,5,0,38,1044,2,779,Medium
3,2,0,34,1533,0,384,Low
20,5,0,22,691,1,721,Medium
22,1,2,28,819,0,463,Low
15,0,2,32,1079,2,1448,High
6,0,2,39,974,2,1261,High
12,5,0,30,1136,4,1202,High
20,3,3,23,926,1,322,Low
9,2,1,29,1582,4,1379,High
6,2,2,24,1959,1,500,Medium
13,0,3,36,596,2,1032,High
4,6,1,30,995,2,1290,High
2,4,1,18,1160,3,844,Medium
22,6,1,34,1801,3,1073,High
10,1,3,27,1788,2,593,Medium
10,4,3,36,508,2,860,Medium
17,4,0,19,956,0,1354,High
14,5,3,36,772,0,268,Low
11,0,3,21,1439,4,961,Medium
8,6,3,37,1531,3,519,Medium
9,6,1,23,707,3,376,Low
11,0,2,22,1646,2,783,Medium
16,6,0,30,1556,2,1383,High
5,0,2,20,703,4,781,Medium
6,5,2,30,1017,3,1358,High
13,3,3,20,1016,0,310,Low
12,4,0,28,942,1,1198,High
7,5,2,35,1188,4,957,Medium
9,2,2,15,1349,1,482,Low
8,1,0,39,1332,0,393,Low
17,3,3,23,838,0,1166,High
1,2,2,39,1961,1,1270,High
4,4,1,38,1968,4,1177,High
4,6,2,27,1659,1,541,Medium
5,0,1,33,886,4,1465,High
18,4,3,31,1548,4,721,Medium
7,5,2,25,1005,2,1000,High
15,1,0,22,1848,3,1102,High
12,5,0,37,1179,3,330,Low
0,3,2,19,1861,0,1493,High
21,3,3,24,1189,2,1013,High
19,1,3,21,1384,3,260,Low
16,2,0,24,1618,4,363,Low
6,2,2,18,1122,4,471,Low
12,3,3,23,1669,1,332,Low
3,3,0,28,1392,1,1467,High
3,6,1,16,1452,4,1197,High
5,0,2,39,1754,4,237,Low
18,6,1,23,1283,1,816,Medium
11,6,1,35,994,3,673,Medium
21,2,3,15,1561,0,258,Low
6,1,3,37,1948,1,788,Medium
9,2,3,24,1246,3,698,Medium
18,0,2,24,936,3,1441,High
6,5,1,34,1891,3,766,Medium
2,3,2,39,844,2,766,Medium
12,3,3,36,1683,2,1352,High
12,0,1,17,1049,3,1103,High
17,6,2,20,1319,4,582,Medium
19,1,2,20,1040,2,284,Low
7,3,0,35,643,1,826,Medium
8,4,2,16,1087,2,1025,High
6,6,3,32,1156,4,492,Low
0,3,2,37,844,0,1272,High
2,4,1,16,1792,2,1290,High
12,0,2,26,1195,3,986,Medium
16,0,0,36,767,3,328,Low
23,6,1,19,668,3,228,Low
0,3,1,34,532,0,1342,High
5,2,0,21,876,4,891,Medium
20,4,3,38,1737,1,332,Low
5,1,1,30,1963,4,1408,High
11,3,3,34,892,0,845,Medium
12,1,1,15,988,3,888,Medium
12,3,1,15,1221,4,733,Medium
14,2,3,31,1445,1,1464,High
20,2,1,15,1552,3,715,Medium
15,6,3,35,538,1,1159,High
21,6,0,34,1696,2,364,Low
20,2,3,27,1540,1,1126,High
10,5,0,23,1579,3,1132,High
4,2,1,29,725,2,756,Medium
3,0,3,17,566,3,1441,High
2,0,1,28,1720,3,879,Medium
18,5,3,37,1334,2,1192,High
19,4,0,25,1546,1,1228,High
17,1,0,38,1498,0,956,Medium
14,3,3,36,736,0,1304,High
8,3,0,26,1456,0,1470,High
16,5,1,27,1418,0,1054,High
13,0,1,27,1661,4,692,Medium
14,6,2,15,972,0,848,Medium
0,3,0,38,1052,2,1191,High
20,0,1,24,1194,0,827,Medium
21,4,3,17,1752,3,824,Medium
21,1,0,38,816,0,742,Medium
2,4,1,18,1097,1,206,Low
15,5,0,30,1267,2,1153,High
22,2,3,22,1385,2,714,Medium
10,2,1,30,1060,4,954,Medium
11,2,2,31,1724,3,272,Low
9,4,2,33,757,2,209,Low
15,3,0,36,1701,1,761,Medium
7,1,3,29,1256,0,321,Low
5,2,1,30,622,2,886,Medium
11,5,3,29,841,1,712,Medium
23,5,1,39,1694,0,1189,High
20,2,0,16,1582,4,640,Medium
7,2,1,25,1988,2,1261,High
3,1,3,15,759,2,901,Medium
7,2,3,29,1896,1,790,Medium
17,1,0,33,594,3,1407,High
4,5,3,18,1648,4,266,Low
8,2,1,25,540,3,216,Low
3,4,0,19,753,2,567,Medium
21,6,1,17,506,3,1103,High
16,4,3,27,1994,0,920,Medium
8,5,0,24,1227,4,1157,High
0,1,1,25,568,3,1107,High
20,4,3,32,1604,0,1188,High
19,1,3,16,1041,1,672,Medium
12,4,2,21,1785,3,314,Low
15,4,3,23,588,4,299,Low
12,1,1,24,1731,0,637,Medium
13,3,0,32,712,3,548,Medium
2,4,2,37,1333,1,338,Low
5,2,3,21,765,3,1027,High
17,6,3,21,1411,0,523,Medium
18,5,3,17,792,3,1045,High
4,3,1,26,1730,4,493,Low
14,1,2,21,832,2,1167,High
1,3,1,31,1600,0,273,Low
9,0,2,15,1811,0,683,Medium
23,0,0,19,1504,0,215,Low
17,4,1,30,546,0,992,Medium
12,4,1,29,1121,3,715,Medium
4,2,0,16,1723,4,1124,High
22,6,2,23,926,1,1350,High
23,5,3,21,709,4,1023,High
0,3,0,18,1387,0,717,Medium
21,0,3,34,1943,3,328,Low
0,4,3,32,653,3,710,Medium
17,5,0,35,914,0,622,Medium
14,3,2,18,1876,3,584,Medium
16,4,3,27,1680,0,431,Low
10,4,0,15,1784,4,1158,High
20,0,1,38,1600,2,1024,High
21,0,1,17,1268,3,1418,High
16,4,1,30,1482,0,264,Low
12,1,0,36,1654,0,1032,High
0,4,1,18,1078,3,814,Medium
1,5,3,39,1978,1,1447,High
8,4,1,37,1239,0,1000,High
2,2,1,39,662,3,477,Low
0,6,3,30,1538,0,565,Medium
20,2,1,33,1755,1,715,Medium
15,2,3,15,694,2,1438,High
22,1,1,19,1041,1,638,Medium
5,1,3,33,858,4,627,Medium
16,4,1,36,1349,3,928,Medium
4,2,3,38,1854,1,595,Medium
4,1,0,25,926,2,1432,High
5,0,3,27,996,0,785,Medium
2,4,1,34,1327,3,1450,High
20,5,1,19,985,1,574,Medium
22,6,2,35,1972,2,1147,High
4,3,3,18,1936,1,292,Low
20,4,0,18,829,4,520,Medium
4,3,3,18,1388,3,1233,High
9,2,3,18,1490,0,1113,High
9,6,0,34,1670,2,1116,High
18,3,3,35,758,1,294,Low
16,2,0,32,791,3,1158,High
20,0,0,32,642,1,1330,High
13,3,3,30,1246,3,270,Low
8,6,3,23,1126,4,863,Medium
13,4,1,32,1888,1,1168,High
0,2,1,36,589,4,786,Medium
